ID,Name,Address,Major,Degree,GPA,MonthDay,Y,Status
100,A. Jones,Little Rock,Computer Sc,BS,3.1,May-15,84,I
101,A. Jones,Little Rock,Computer Sc,MS,3.2,May-15,87,N
107,M. Kochaal,Savannah,Chemistry,BS,3.9,May-15,92,N
108,M. Big,Little Rock,Chemistry,BS,3.9,May-15,92,O
109,P. Board,Atlanta,Chemistry,AS,4,Dec-15,88,I
110,G. Bear,Little Rock,Biology,AS,4,Dec-15,88,O
117,W. Big,Little Rock,Chemistry,BS,3.9,May-15,92,O
132,A. White,Orlando,Computer Sc,AS,3.9,Aug-15,92,N
150,A. Cool,Orlando,Computer Sc,MS,3.9,Aug-15,86,I
165,A. Silver,Seattle,Elementary,MS,3.3,Aug-15,85,O
175,K. Glob,Dallas,Applied Sc,PhD,3.2,Jul-4,89,N
185,X. Jones,New York,Info Sc,BS,4,Dec-15,90,N
195,D. Red,Seattle,Info Sc,BS,2.1,Dec-15,90,O
199,K. Duell,Atlanta,Biology,AS,4,Dec-15,88,I
200,B. Brady,Little Rock,Applied Sc,PhD,3.2,May-15,92,I
201,W. Brady,Conway,Applied Sc,PhD,3.2,May-15,87,I
202,A. Bank,Conway,Applied Sc,PhD,3.2,Jul-4,87,N
203,Y. Little,Atlanta,Chemistry,MS,3.9,Jul-4,86,N
205,K. Minges,Conway,Elementary,EdD,3.2,Aug-15,84,N
207,K. Goolar,Atlanta,Chemistry,MS,3.9,Jul-4,86,N
208,P. Little,Atlanta,Chemistry,MS,3.9,Jul-4,86,N
215,K. King,Conway,Elementary,EdD,3.2,Aug-15,84,N
222,D. Abul,Savannah,Economics,BA,3.9,Aug-15,90,N
229,M. Katchal,Savannah,Economics,BA,3,Aug-15,91,N
232,K. Blue,Little Rock,Computer Sc,AS,3.1,Aug-15,91,I
250,K. Jones,Little Rock,Computer Sc,BS,3.1,Aug-15,86,N
255,K. Dool,Atlanta,Secondary,MS,3.9,Jul-4,86,N
299,M. Golab,Seattle,Chemistry,BS,3,May-15,84,N
300,C. Cook,Little Rock,Biology,BS,2.2,Jun-1,87,I
305,H. Molar,Conway,Biology,MS,3.2,Jul-4,84,N
306,M. Searsy,Conway,Biology,MS,3.2,Jul-4,84,N
307,M. Korp,Conway,Biology,MS,3.2,Jul-4,84,N
308,M. Kartsoo,Conway,Biology,MS,3.2,Jul-4,84,N
315,M. Gola,Conway,Secondary,MS,3.2,May-15,84,N
329,G. Kooper,Savannah,Accounting,BA,3,Aug-15,91,N
